composer,kr_composer,songs,kr_songs
DM Ashura feat. Skizzo & Hanna,DM Ashura feat. Skizzo & Hanna,"['Move That Body!', 'Move That Body! - FULL SONG -', 'Move That Body! - SHORT CUT -']","['무브 댓 바디!', '무브 댓 바디! - FULL SONG -', '무브 댓 바디! - SHORT CUT -']"
Yahpp,이 얍,"['Red Swan', 'Hyacinth', 'Witch Doctor #1', 'Arch of Darkness', 'Blaze Emotion (band version)']","['레드 스완', '히아신스', '위치 닥터 #1', '아크 오브 다크니스', '블레이즈 이모션 (Band version)']"
CYO Style,CYO Style,['Robot battle'],['로봇 배틀']
CYO Style & Henohenomoheji,CYO Style & Henohenomoheji,['You again my love'],['유 어게인 마이 러브']
V.A.,V.A.,['Pavane'],['파반느']
SQUAR,SQUAR,['Mental Rider'],['멘탈 라이더']
Coconut,Coconut,"['Kitty Cat', 'Ladybug']","['키티 캣', '레이디버그']"
SID-SOUND ,시드사운드,['STEP'],['스텝']
DJ Counterforce,DJ Counterforce,['Heart Attack'],['하트 어택']
ZiGZaG,ZiGZaG,['VVV'],['VVV ']
Vesuvia x REDSHiFT,Vesuvia x REDSHiFT,['Karyawisata'],['까랴위사따']
A.V.,A.V.,['Night Duty'],['야근']
Yassi Pressman,야시 프레스먼,['Lala'],['라라']
Banya,반야,"['Canon D - FULL SONG -', 'Winter - SHORT CUT -', 'Witch Doctor - SHORT CUT -', 'Extravaganza - SHORT CUT -', 'Love is a Danger Zone pt. 2 - SHORT CUT -', 'Love is a Danger Zone - SHORT CUT -', 'CHICKEN WING - SHORT CUT -', 'EXTRA BanYa Remix', 'Moonlight - SHORT CUT -', 'Solitary 2 - SHORT CUT -', 'Exceed2 Opening - SHORT CUT -', 'Final Audition 2 - SHORT CUT -', 'Final Audition 3 - SHORT CUT -']","['캐논 디 - FULL SONG -', '윈터 - SHORT CUT -', '위치 닥터 - SHORT CUT -', '엑스트라바간자 - SHORT CUT -', '러브 이즈 어 데인저 존 pt.2 - SHORT CUT -', '러브 이즈 어 데인저 존 - SHORT CUT -', '치킨 윙 - SHORT CUT -', '엑스트라 반야 리믹스', '월광 - SHORT CUT -', '무혼 2 - SHORT CUT -', '익시드2 오프닝 - SHORT CUT -', '파이널 오디션 2 - SHORT CUT -', '파이널 오디션 3 - SHORT CUT -']"
MAZO,MAZO,"['Break It Down', 'Hey U']","['브레이크 잇 다운', '헤이 유']"
Yassi Pressman & Nadine Lustre,야시 프레스먼 & 나딘 러스트레,"['HUSH', 'HUSH - FULL SONG -']","['허쉬', '허쉬 - FULL SONG -']"
Aragon,아라곤,['Visual Dream II (In Fiction)'],['비주얼 드림 2 (인 픽션)']
MAX & MEMME,맥스 & 맴매,['Avalanquiem'],['아발란퀴엠']
Nato & EXC,나토 & EXC,['Shub Sothoth'],['슈브 소토스']
Banya & Warak,반야 & 와락,['Beethoven Influenza'],['베토벤 인플루엔자']
Doin & MAX,도인 & 맥스,['What Are You Doin?'],['와라유도인?']
msgoon,엠.에스.군,"['Betrayer -act.2-', 'msgoon RMX pt.6']","['사랑가 -2막-', '엠.에스.군 리믹스 파트.6']"
SynthWulf & MAX,SynthWulf & 맥스,['Infinity RMX'],['인피니티 리믹스']
